"","x"
"220","Cholecystitis without cholelithiasis"
"221","Other disorders of gallbladder"
"222","Other disorders of biliary tract"
"223","Acute pancreatitis"
"224","Hematemesis"
"225","Blood in stool"
"226","Hemorrhage of rectum and anus"
"227","Hemorrhage of gastrointestinal tract"
"228","Chronic glomerulonephritis, NOS"
"229","Acute renal failure"
"230","Renal failure NOS"
"231","Chronic renal failure [CKD]"
"232","Chronic Kidney Disease, Stage III"
"233","Other disorders of the kidney and ureters"
"234","Cyst of kidney, acquired"
"235","Stricture/obstruction of ureter"
"236","Pyelonephritis"
"237","Urinary tract infection"
"238","Cystitis"
"239","Chronic cystitis"
"240","Calculus of kidney"
"241","Calculus of ureter"
"242","Renal colic"
"243","Hydronephrosis"
"244","Other disorders of bladder"
"245","Bladder neck obstruction"
"246","Functional disorders of bladder"
"247","Urethral stricture (not specified as infectious)"
"248","Other symptoms/disorders or the urinary system"
"249","Urinary incontinence"
"250","Hyperplasia of prostate"
"251","Chronic prostatitis"
"252","Other disorders of prostate"
"253","Other disorders of testis"
"254","Hydrocele"
"255","Redundant prepuce and phimosis/BXO"
"256","Other disorders of male genital organs"
"257","Benign neoplasm of breast"
"258","Lump or mass in breast"
"259","Hypertrophy of breast (Gynecomastia)"
"260","Pelvic peritoneal adhesions, female (postoperative) (postinfection)"
"261","Cervicitis and endocervicitis"
"262","Endometriosis"
"263","Prolapse of vaginal walls"
"264","Uterine/Uterovaginal prolapse"
"265","Disorders of uterus, NEC"
"266","Noninflammatory disorders of cervix"
"267","Noninflammatory disorders of vagina"
"268","Noninflammatory disorders of vulva and perineum"
"269","Endometrial hyperplasia"
"270","Polyp of corpus uteri"
"271","Mucous polyp of cervix"
"272","Hypertrophy of female genital organs"
"273","Pain and other symptoms associated with female genital organs"
"274","Dyspareunia"
"275","Disorders of menstruation and other abnormal bleeding from female genital tract"
"276","Irregular menstrual cycle/bleeding"
"277","Excessive or frequent menstruation"
"278","Irregular menstrual cycle"
"279","Irregular menstrual bleeding"
"280","Dysmenorrhea"
"281","Infertility, female"
"282","Postmenopausal bleeding"
"283","Postmenopausal atrophic vaginitis"
"284","Ovarian cyst"
"285","Cellulitis and abscess of arm/hand"
"286","Other local infections of skin and subcutaneous tissue"
"287","Carbuncle and furuncle"
"288","Disorder of skin and subcutaneous tissue NOS"
"289","Psoriasis vulgaris"
"290","Other hypertrophic and atrophic conditions of skin"
"291","Scar conditions and fibrosis of skin"
"292","Actinic keratosis"
"293","Seborrheic keratosis"
"294","Ingrowing nail"
"295","Sebaceous cyst"
"296","Chronic ulcer of skin"
"297","Decubitus ulcer"
"298","Rheumatoid arthritis"
"299","Other inflammatory spondylopathies"
"300","Arthropathy NOS"
"301","Polymyalgia Rheumatica"
"302","Spinal stenosis"
"303","Spondylosis and allied disorders"
"304","Spondylosis without myelopathy"
"305","Displacement of intervertebral disc"
"306","Degeneration of intervertebral disc"
"307","Other and unspecified disc disorder"
"308","Peripheral enthesopathies and allied syndromes"
"309","Enthesopathy"
"310","Bursitis"
"311","Other disorders of synovium, tendon, and bursa"
"312","Synovitis and tenosynovitis"
"313","Ganglion and cyst of synovium, tendon, and bursa"
"314","Contracture of palmar fascia [Dupuytren's disease]"
"315","Other disorders of soft tissues"
"316","Rheumatism, unspecified and fibrositis"
"317","Other disorders of bone and cartilage"
"318","Malunion and nonunion of fracture"
"319","Acquired toe deformities"
"320","Hammer toe (acquired)"
"321","Hallux rigidus"
"322","Hallux valgus (Bunion)"
"323","Other acquired deformities of limbs"
"324","Kyphoscoliosis and scoliosis"
"325","Acquired spondylolisthesis"
"326","Osteoarthritis; localized"
"327","Osteoarthrosis, localized, primary"
"328","Osteoarthrosis, generalized"
"329","Osteoarthrosis NOS"
"330","Symptoms and disorders of the joints"
"331","Joint effusions"
"332","Other derangement of joint"
"333","Osteoporosis NOS"
"334","Osteopenia or other disorder of bone and cartilage"
"335","Pain in joint"
"336","Congenital anomalies of great vessels"
"337","Back pain"
"338","Cervicalgia"
"339","Thoracic or lumbosacral neuritis or radiculitis, unspecified"
"340","Sciatica"
"341","Neuralgia, neuritis, and radiculitis NOS"
"342","Myalgia and myositis unspecified"
"343","Pain in limb"
"344","Abdominal pain"
"345","Internal derangement of knee"
"346","Atopic/contact dermatitis due to other or unspecified"
"347","Sepsis"
"348","Other tests"
